Type,Municipality,NearStation,Price,FloorPlan,Area,LandShape,Frontage,BuildingYear,Structure,Use,Direction,Renovation
Residential Land(Land and Building),Chiyoda Ward,2.0,190000000,1K,145,Rectangular Shaped,9.8,1974.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,61000000,1K,55,Irregular Shaped,3.0,1988.0,RC,Office,North,Not yet
Residential Land(Land and Building),Minato Ward,4.0,180000000,1K,50,Semi-rectangular Shaped,5.0,2016.0,LS,Housing Complex,East,Not yet
Residential Land(Land and Building),Minato Ward,2.0,550000000,1K,85,Semi-square Shaped,6.8,2015.0,S,Shop,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,910000000,1K,160,Semi-shaped,10.3,1986.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,4.0,230000000,1K,75,Semi-rectangular Shaped,7.0,1979.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,250000000,1K,190,Semi-rectangular Shaped,9.5,1971.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,2.0,300000000,1K,100,Semi-rectangular Shaped,8.0,1980.0,RC,House,South,Not yet
Residential Land(Land and Building),Minato Ward,3.0,1100000000,1K,500,Semi-rectangular Shaped,15.5,1987.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Minato Ward,1.0,1500000000,1K,125,Rectangular Shaped,9.0,1972.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,780000000,1K,110,Semi-trapezoidal Shaped,7.0,2007.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,4.0,880000000,1K,220,Irregular Shaped,15.3,2018.0,S,Shop,East,Not yet
Residential Land(Land and Building),Minato Ward,4.0,190000000,1K,80,Semi-rectangular Shaped,7.5,2003.0,RC,House,East,Not yet
Residential Land(Land and Building),Minato Ward,6.0,400000000,1K,150,Irregular Shaped,15.0,1971.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,4.0,320000000,1K,165,Semi-rectangular Shaped,10.0,2005.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Minato Ward,2.0,470000000,1K,70,Semi-trapezoidal Shaped,5.8,2006.0,RC,Shop,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,5.0,310000000,1K,130,Semi-square Shaped,11.0,2001.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,460000000,1K,80,Semi-rectangular Shaped,7.5,2016.0,RC,Shop,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,4.0,340000000,1K,100,Irregular Shaped,9.0,1971.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Minato Ward,5.0,350000000,1K,170,Trapezoidal Shaped,15.0,1969.0,S,Housing Complex,West,Not yet
Residential Land(Land and Building),Minato Ward,2.0,190000000,1K,140,Semi-rectangular Shaped,10.0,1980.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,1.0,1100000000,1K,195,Semi-rectangular Shaped,12.0,1980.0,RC,Shop,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,5.0,1100000000,1K,220,Semi-rectangular Shaped,8.0,1964.0,SRC,Office,East,Not yet
Residential Land(Land and Building),Minato Ward,2.0,390000000,1K,85,Semi-rectangular Shaped,10.0,2015.0,S,Shop,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,610000000,1K,105,Semi-shaped,10.0,1986.0,RC,Shop,South,Not yet
Residential Land(Land and Building),Minato Ward,2.0,4000000000,1K,1000,Irregular Shaped,45.0,1998.0,S,Parking Lot,East,Not yet
Residential Land(Land and Building),Minato Ward,1.0,300000000,1K,95,Semi-shaped,9.0,1967.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,5.0,80000000,1K,170,Irregular Shaped,9.0,1989.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Minato Ward,5.0,550000000,1K,240,Irregular Shaped,24.0,1971.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,2.0,7600000000,1K,1000,Semi-trapezoidal Shaped,23.0,2006.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,1.0,83000000,1K,65,Trapezoidal Shaped,8.3,1999.0,S,House,West,Not yet
Residential Land(Land and Building),Minato Ward,3.0,1000000000,1K,960,Semi-square Shaped,25.0,1988.0,RC,Parking Lot,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,2.0,2500000000,1K,220,Semi-rectangular Shaped,13.0,2009.0,RC,Parking Lot,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,400000000,1K,270,Semi-rectangular Shaped,10.0,1985.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Minato Ward,1.0,200000000,1K,75,Semi-trapezoidal Shaped,6.7,1981.0,RC,Shop,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,3900000000,1K,730,Irregular Shaped,36.0,2010.0,S,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,58000000,1K,65,Rectangular Shaped,9.5,1962.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,320000000,1K,200,Rectangular Shaped,25.5,1992.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,39000000,1K,35,Semi-rectangular Shaped,3.0,1987.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,670000000,1K,125,Trapezoidal Shaped,15.0,2011.0,S,Office,North,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,45000000,1K,75,Semi-rectangular Shaped,7.0,1988.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,18000000,1K,35,Semi-rectangular Shaped,3.7,2003.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,870000000,1K,470,Rectangular Shaped,18.0,1989.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,80000000,1K,90,Semi-rectangular Shaped,8.0,1987.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,420000000,1K,120,Trapezoidal Shaped,8.0,1988.0,RC,House,East,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,14000000,1K,40,Rectangular Shaped,4.0,1988.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,9.0,23000000,1K,35,Rectangular Shaped,3.6,1990.0,W,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,15000000,1K,35,Rectangular Shaped,4.0,1955.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,100000000,1K,100,Rectangular Shaped,9.5,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,4.0,3100000000,1K,910,Irregular Shaped,34.0,1975.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,310000000,1K,390,Trapezoidal Shaped,17.6,1965.0,S,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,340000000,1K,90,Trapezoidal Shaped,10.9,2015.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,220000000,1K,250,Semi-trapezoidal Shaped,15.6,1964.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,140000000,1K,90,Semi-square Shaped,10.0,1983.0,S,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,230000000,1K,145,Semi-square Shaped,12.0,1984.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,18000000,1K,105,Irregular Shaped,7.0,1983.0,RC,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,14000000,1K,35,Rectangular Shaped,4.0,1967.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,78000000,1K,60,Semi-rectangular Shaped,3.5,2016.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,71000000,1K,85,Irregular Shaped,2.0,2016.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,1100000000,1K,910,Semi-rectangular Shaped,20.0,1988.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,97000000,1K,90,Semi-rectangular Shaped,7.5,2014.0,W,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,280000000,1K,280,Irregular Shaped,13.8,1992.0,RC,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,190000000,1K,150,Semi-trapezoidal Shaped,15.0,1980.0,S,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,640000000,1K,185,Semi-rectangular Shaped,11.0,1986.0,S,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,58000000,1K,75,Semi-rectangular Shaped,5.5,2001.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,120000000,1K,140,Semi-square Shaped,11.0,1986.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,240000000,1K,155,Semi-trapezoidal Shaped,15.6,1987.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,170000000,1K,140,Semi-square Shaped,12.0,1986.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,78000000,1K,125,Semi-rectangular Shaped,13.5,1964.0,W,Shop,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,1300000000,1K,320,Semi-rectangular Shaped,16.0,1988.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,320000000,1K,90,Semi-trapezoidal Shaped,9.0,1985.0,SRC,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,60000000,1K,85,Semi-rectangular Shaped,15.0,1980.0,RC,Shop,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,15000000,1K,70,Semi-rectangular Shaped,4.7,1949.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,660000000,1K,330,Trapezoidal Shaped,16.4,1988.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,77000000,1K,60,Rectangular Shaped,5.0,1961.0,RC,Workshop,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,230000000,1K,175,Semi-rectangular Shaped,10.8,1993.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,60000000,1K,45,Semi-rectangular Shaped,4.6,2016.0,W,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,120000000,1K,35,Irregular Shaped,7.0,1973.0,S,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,300000000,1K,200,Semi-rectangular Shaped,13.5,1962.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,100000000,1K,35,Rectangular Shaped,4.1,1985.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1200000000,1K,195,Semi-trapezoidal Shaped,22.0,1993.0,S,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,220000000,1K,230,Semi-rectangular Shaped,11.0,1990.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,180000000,1K,210,Semi-rectangular Shaped,13.5,1954.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,83000000,1K,70,Rectangular Shaped,4.3,1971.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,930000000,1K,330,Rectangular Shaped,13.7,1997.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,290000000,1K,150,Semi-rectangular Shaped,16.5,1993.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,330000000,1K,160,Semi-rectangular Shaped,9.0,1996.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,360000000,1K,290,Trapezoidal Shaped,8.5,1963.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,250000000,1K,390,Semi-trapezoidal Shaped,25.0,1971.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,1.0,130000000,1K,250,Semi-rectangular Shaped,10.2,1990.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,660000000,1K,500,Trapezoidal Shaped,19.0,1999.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,93000000,1K,120,Rectangular Shaped,7.0,1990.0,S,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,130000000,1K,115,Semi-square Shaped,9.1,1981.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,740000000,1K,350,Trapezoidal Shaped,40.4,2014.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,95000000,1K,115,Semi-rectangular Shaped,9.0,1980.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,58000000,1K,50,Rectangular Shaped,3.9,2015.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,54000000,1K,55,Rectangular Shaped,5.1,2004.0,S,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,570000000,1K,350,Trapezoidal Shaped,30.0,2014.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,1700000000,1K,590,Irregular Shaped,30.0,1966.0,SRC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,1000000000,1K,610,Semi-rectangular Shaped,15.0,1988.0,SRC,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,1000000000,1K,190,Irregular Shaped,8.8,1986.0,S,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,9000000,1K,30,Semi-rectangular Shaped,4.0,1967.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,1300000000,1K,370,Irregular Shaped,15.0,1964.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,5500000000,1K,1800,Irregular Shaped,40.0,1973.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,56000000,1K,70,Semi-rectangular Shaped,7.2,1989.0,LS,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,49000000,1K,50,Rectangular Shaped,5.0,1984.0,S,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,90000000,1K,70,Semi-rectangular Shaped,6.9,1994.0,S,Housing Complex,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,2200000000,1K,380,Irregular Shaped,14.0,2010.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1100000000,1K,320,Irregular Shaped,11.0,1973.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,62000000,1K,100,Semi-rectangular Shaped,7.5,1972.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,73000000,1K,75,Semi-rectangular Shaped,4.6,2001.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,260000000,1K,300,Irregular Shaped,13.0,1974.0,RC,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,83000000,1K,110,Rectangular Shaped,6.6,1988.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,620000000,1K,840,Rectangular Shaped,23.2,1994.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,34000000,1K,35,Rectangular Shaped,4.0,1988.0,W,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,130000000,1K,90,Rectangular Shaped,6.0,2003.0,S,Other,North,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,410000000,1K,95,Rectangular Shaped,5.6,1972.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,22000000,1K,55,Rectangular Shaped,9.0,1988.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,55000000,1K,50,Rectangular Shaped,4.8,2006.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,170000000,1K,100,Rectangular Shaped,12.4,2009.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,400000000,1K,210,Semi-rectangular Shaped,7.5,2017.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,180000000,1K,210,Irregular Shaped,9.6,2017.0,W,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,43000000,1K,85,Semi-square Shaped,9.0,1985.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,45000000,1K,50,Irregular Shaped,6.5,2001.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,330000000,1K,200,Semi-rectangular Shaped,10.5,2009.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,120000000,1K,105,Semi-rectangular Shaped,9.2,2014.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,58000000,1K,50,Rectangular Shaped,7.9,2009.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,4500000,1K,30,Semi-square Shaped,3.5,1960.0,W,House,No facing road,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,10000000,1K,50,Rectangular Shaped,9.5,1951.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,16000000,1K,40,Semi-shaped,5.5,1960.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,86000000,1K,65,Semi-square Shaped,7.4,2007.0,S,Housing Complex,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,270000000,1K,210,Irregular Shaped,13.5,1991.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,95000000,1K,140,Semi-rectangular Shaped,6.8,2000.0,S,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,85000000,1K,75,Rectangular Shaped,7.0,1976.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,51000000,1K,55,Semi-rectangular Shaped,4.5,2002.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,60000000,1K,60,Semi-rectangular Shaped,9.4,1997.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,39000000,1K,60,Semi-rectangular Shaped,9.4,1997.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,65000000,1K,65,Semi-rectangular Shaped,4.5,1996.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,120000000,1K,310,Semi-rectangular Shaped,10.5,1965.0,W,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,330000000,1K,240,Semi-rectangular Shaped,13.0,1969.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,320000000,1K,270,Semi-rectangular Shaped,14.5,1971.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,140000000,1K,85,Semi-rectangular Shaped,5.8,1992.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,110000000,1K,135,Semi-rectangular Shaped,10.0,1978.0,W,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,410000000,1K,240,Rectangular Shaped,11.5,2007.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,110000000,1K,100,Irregular Shaped,9.6,2017.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,120000000,1K,105,Rectangular Shaped,9.6,2017.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,240000000,1K,185,Semi-rectangular Shaped,9.0,1989.0,S,Housing Complex,West,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,130000000,1K,105,Rectangular Shaped,7.0,1992.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,190000000,1K,175,Semi-rectangular Shaped,8.2,2016.0,W,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,150000000,1K,450,Semi-rectangular Shaped,17.3,1973.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,380000000,1K,195,Semi-trapezoidal Shaped,12.0,1988.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,49000000,1K,70,Irregular Shaped,5.9,1998.0,LS,House,North,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,340000000,1K,190,Irregular Shaped,11.5,1980.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,11.0,47000000,1K,130,Irregular Shaped,3.0,1960.0,W,House,East,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,120000000,1K,125,Semi-rectangular Shaped,6.7,1988.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,180000000,1K,300,Semi-rectangular Shaped,11.5,1974.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,45000000,1K,50,Rectangular Shaped,4.6,2015.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,23000000,1K,45,Square Shaped,6.6,1968.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,180000000,1K,210,Semi-rectangular Shaped,10.0,1992.0,RC,Office,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,49000000,1K,65,Irregular Shaped,2.4,2007.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,59000000,1K,55,Semi-square Shaped,4.0,1999.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,60000000,1K,90,Semi-rectangular Shaped,6.9,2014.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,11.0,13000000,1K,50,Semi-rectangular Shaped,7.5,1955.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,110000000,1K,130,Semi-square Shaped,11.0,2014.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,22000000,1K,50,Semi-square Shaped,6.8,1970.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,140000000,1K,100,Semi-rectangular Shaped,7.6,1968.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,80000000,1K,60,Semi-rectangular Shaped,3.8,1997.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,170000000,1K,220,Semi-rectangular Shaped,15.5,1973.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,350000000,1K,160,Rectangular Shaped,9.0,1959.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,78000000,1K,75,Semi-shaped,3.5,2006.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,210000000,1K,210,Irregular Shaped,2.9,2016.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,140000000,1K,90,Semi-square Shaped,10.0,1986.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,370000000,1K,115,Irregular Shaped,5.5,1980.0,S,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,410000000,1K,250,Irregular Shaped,7.8,2008.0,S,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,80000000,1K,105,Semi-rectangular Shaped,10.0,1970.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,39000000,1K,45,Semi-trapezoidal Shaped,6.0,1988.0,RC,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,99000000,1K,115,Semi-square Shaped,10.5,1989.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,1000000000,1K,270,Rectangular Shaped,20.0,1962.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,170000000,1K,55,Rectangular Shaped,5.6,1984.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,420000000,1K,175,Rectangular Shaped,8.3,1965.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,2500000000,1K,290,Semi-shaped,12.0,2009.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,600000000,1K,330,Semi-rectangular Shaped,10.8,1961.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,170000000,1K,55,Rectangular Shaped,5.0,1984.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,450000000,1K,135,Rectangular Shaped,13.0,2010.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,150000000,1K,150,Square Shaped,11.0,1979.0,S,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,230000000,1K,145,Trapezoidal Shaped,8.2,1989.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,500000000,1K,85,Rectangular Shaped,4.3,1963.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,350000000,1K,85,Semi-rectangular Shaped,6.0,1981.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,130000000,1K,80,Trapezoidal Shaped,7.0,1962.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,200000000,1K,70,Semi-rectangular Shaped,6.3,2017.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,340000000,1K,85,Rectangular Shaped,8.0,1969.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,25000000,1K,50,Semi-trapezoidal Shaped,5.0,1964.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,440000000,1K,270,Semi-rectangular Shaped,6.8,2013.0,W,Shop,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,200000000,1K,90,Semi-shaped,8.0,2014.0,RC,Shop,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,80000000,1K,80,Trapezoidal Shaped,12.0,1955.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,98000000,1K,45,Semi-rectangular Shaped,3.5,1995.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,42000000,1K,45,Semi-rectangular Shaped,4.5,1964.0,W,House,East,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,210000000,1K,105,Rectangular Shaped,7.5,2006.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,130000000,1K,75,Semi-rectangular Shaped,5.0,1960.0,W,Office,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,31000000,1K,70,Rectangular Shaped,6.6,1968.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,300000000,1K,100,Trapezoidal Shaped,10.4,1991.0,RC,Other,East,Not yet
